"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","09/16/2017 11:00","12.2","50.5","35","1008","W at 22 MPH (280 deg)","Potential Tropical Cyclone","Fifteen","09/16/2017 11:23","Cangialosi"
"1A","09/16/2017 14:00","11.9","51.6","35","1006","W at 20 MPH (280 deg)","Tropical Depression","FIFTEEN","09/16/2017 13:32","Cangialosi"
"2","09/16/2017 17:00","12.3","52.6","50","1002","W at 20 MPH (275 deg)","Tropical Storm","Maria","09/16/2017 16:41","Cangialosi"
"2A","09/16/2017 20:00","12.4","53.0","50","1002","W at 19 MPH (275 deg)","Tropical Storm","Maria","09/16/2017 19:41","Beven"
"3","09/16/2017 23:00","12.5","53.7","50","1002","W at 16 MPH (280 deg)","Tropical Storm","Maria","09/16/2017 22:59","Beven"
"3A","09/17/2017 02:00","12.7","54.4","50","1000","W at 16 MPH (280 deg)","Tropical Storm","Maria","09/17/2017 01:34","Pasch"
"4","09/17/2017 05:00","13.0","54.9","65","994","WNW at 15 MPH (290 deg)","Tropical Storm","Maria","09/17/2017 04:50","Pasch"
"4A","09/17/2017 08:00","13.3","55.6","65","994","WNW at 15 MPH (290 deg)","Tropical Storm","Maria","09/17/2017 07:38","Berg"
"5","09/17/2017 11:00","13.5","56.2","65","994","WNW at 15 MPH (290 deg)","Tropical Storm","Maria","09/17/2017 10:56","Berg"
"5A","09/17/2017 14:00","13.6","56.9","65","994","WNW at 15 MPH (290 deg)","Tropical Storm","Maria","09/17/2017 13:56","Berg"
"6","09/17/2017 17:00","13.8","57.5","75","982","WNW at 15 MPH (285 deg)","Hurricane","Maria","09/17/2017 16:55","Berg"
"6A","09/17/2017 20:00","14.0","57.9","80","982","WNW at 15 MPH (285 deg)","Hurricane","Maria","09/17/2017 19:50","Beven"
"7","09/17/2017 23:00","14.2","58.4","85","979","WNW at 13 MPH (290 deg)","Hurricane","Maria","09/17/2017 22:53","Beven"
"7A","09/18/2017 02:00","14.4","59.0","90","977","WNW at 13 MPH (290 deg)","Hurricane","Maria","09/18/2017 01:35","Pasch"
"8","09/18/2017 05:00","14.6","59.5","90","977","WNW at 13 MPH (290 deg)","Hurricane","Maria","09/18/2017 04:37","Pasch"
"8A","09/18/2017 08:00","14.6","59.7","110","967","WNW at 12 MPH (290 deg)","Hurricane","Maria","09/18/2017 07:50","Beven"
"9","09/18/2017 11:00","14.7","60.1","120","959","WNW at 10 MPH (285 deg)","Hurricane","Maria","09/18/2017 11:02","Beven"
"9A","09/18/2017 14:00","14.9","60.4","125","956","WNW at 10 MPH (285 deg)","Hurricane","Maria","09/18/2017 13:47","Beven"
"10","09/18/2017 17:00","15.1","60.7","130","950","WNW at 9 MPH (290 deg)","Hurricane","Maria","09/18/2017 16:50","Beven"
"11","09/18/2017 20:00","15.3","61.1","160","925","WNW at 9 MPH (300 deg)","Hurricane","Maria","09/18/2017 20:05","Brown"
"12","09/18/2017 23:00","15.5","61.4","160","924","WNW at 9 MPH (300 deg)","Hurricane","Maria","09/18/2017 22:55","Brown"
"12A","09/19/2017 02:00","15.7","61.9","155","942","WNW at 9 MPH (300 deg)","Hurricane","Maria","09/19/2017 01:38","Pasch"
"13","09/19/2017 05:00","16.0","62.3","155","934","WNW at 9 MPH (300 deg)","Hurricane","Maria","09/19/2017 04:53","Pasch"
"13A","09/19/2017 08:00","16.2","62.8","160","933","WNW at 9 MPH (300 deg)","Hurricane","Maria","09/19/2017 07:52","Beven"
"14","09/19/2017 11:00","16.3","63.1","160","927","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/19/2017 10:49","Beven"
"14A","09/19/2017 14:00","16.6","63.6","160","927","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/19/2017 13:59","Beven"
"15","09/19/2017 17:00","16.8","64.0","165","916","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/19/2017 16:47","Beven"
"15A","09/19/2017 20:00","17.0","64.2","175","909","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/19/2017 19:58","Brown"
"16","09/19/2017 23:00","17.3","64.7","175","909","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/19/2017 22:46","Brown"
"16A","09/20/2017 02:00","17.6","65.1","165","910","WNW at 10 MPH (300 deg)","Hurricane","Maria","09/20/2017 01:56","Pasch"
"17","09/20/2017 05:00","17.9","65.6","155","917","NW at 10 MPH (305 deg)","Hurricane","Maria","09/20/2017 04:59","Pasch"
